Title,Author,Download_Timestamp,Format,ISBN,Identifiers,Languages,Publication_Date,Publisher,Series,Series_Index,Size,Tags,UUID,Comments,USD Sale Price,Page Count,Categories,Width,Thickness,Height,Weight
A Psalm for the Wild-Built,Becky Chambers,2024-05-02T14:52:16-08:00,"epub, mobi",9781250236210,"isbn:9781250236210,goodreads:40864002,google:XgT6DwAAQBAJ,amazon:1250236215",eng,2021-07-12T23:00:00-08:00,Tordotcom,Monk & Robot,1,414058,"Fiction, Action & Adventure, Apocalyptic & Post-Apocalyptic, Science Fiction, Fantasy, Adult",3d661988-3323-45ec-ae9f-375dac04b3d1,"Winner of the Hugo Award! In A Psalm for the Wild-Built, bestselling Becky Chambers's delightful new Monk and Robot series, gives us hope for the future. It's been centuries since the robots of Panga gained self-awareness and laid down their tools; centuries since they wandered, en masse, into the wilderness, never to be seen again; centuries since they faded into myth and urban legend. One day, the life of a tea monk is upended by the arrival of a robot, there to honor the old promise of checking in. The robot cannot go back until the question of ""what do people need?"" is answered. But the answer to that question depends on who you ask, and how. They're going to need to ask it a lot. Becky Chambers's new series asks: in a world where people have what they want, does having more matter? At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",11.99,160,"Fiction, Short Story",5.25,0.65,8.3,"
                                 8 ounces"
Arsenic and Adobo,Mia P. Manansala,2024-06-26T16:32:56-08:00,"epub, mobi",9780593201688,"amazon:B08FHB46J1,isbn:9780593201688,google:_kz2DwAAQBAJ",eng,2021-05-03T23:00:00-08:00,Penguin,A Tita Rosie's Kitchen Mystery,1,2275194,"Fiction, Asian American, Mystery & Detective, Cozy, Culinary, Women Sleuths",75c73d10-c9a7-407c-b0b7-bccb84efa22e,"A RUSA Award-winning novel! The first book in a new culinary cozy series full of sharp humor and delectable dishes—one that might just be killer.... When Lila Macapagal moves back home to recover from a horrible breakup, her life seems to be following all the typical rom-com tropes. She's tasked with saving her Tita Rosie's failing restaurant, and she has to deal with a group of matchmaking aunties who shower her with love and judgment. But when a notoriously nasty food critic (who happens to be her ex-boyfriend) drops dead moments after a confrontation with Lila, her life quickly swerves from a Nora Ephron romp to an Agatha Christie case. With the cops treating her like she's the one and only suspect, and the shady landlord looking to finally kick the Macapagal family out and resell the storefront, Lila's left with no choice but to conduct her own investigation. Armed with the nosy auntie network, her barista best bud, and her trusted Dachshund, Longanisa, Lila takes on this tasty, twisted case and soon finds her own neck on the chopping block…",10.99,336,Fiction,5.46,0.71,8.18,"
                                 2.31 pounds"
You Are Here,David Nicholls,2024-06-26T16:32:56-08:00,"epub, mobi",9781444715446,"amazon:1444715445,google:pK6-zQEACAAJ,mobi-asin:B0CFJDBYSC,isbn:9781444715446",eng,2024-04-22T23:00:00-08:00,Sceptre,,1,1200875,"Fiction, General, Humorous, Literary, Romance, Contemporary, Romantic Comedy, Clean & Wholesome, Holiday, Later in Life, Family Life, Marriage & Divorce, Holidays, Small Town & Rural, Friendship, Nature & the Environment, World Literature, England, 21st Century",f5189457-4406-4b0f-a073-862054b87bae,"THE INSTANT #1 SUNDAY TIMES BESTSELLER A Good Housekeeping ""Book We're Most Looking Forward To"" * An Independent Today ""Best Fiction Books to Read"" * A GQ Magazine (UK) ""Best Book of 2024"" * A Harper’s Bazaar (UK) ""Best Novels to Read"" * A Daily Record ""Best Novel"" ""I finished this novel in two breathless sittings, as invested in its outcome as I would be in the happiness of a friend. This is the magic of You Are Here: warm, generous and funny, it invites readers into the world of Marnie and Michael with the promise that everyone is welcome, and that choosing happiness and being courageous in any small way we can is always possible. I loved this book."" — Kaliane Bradley, author of The Ministry of Time From the internationally bestselling and Booker Prize-longlisted author of One Day, one of the most enduring love stories of its generation, comes an uplifting and unputdownable love story about second chances. Sometimes you need to get lost to find your way . . . Michael is coming undone. Adrift after his wife's departure, he has begun taking himself on long, solitary walks across the English countryside. Becoming ever more reclusive, he’ll do anything to avoid his empty house. Marnie, on the other hand, is stuck. Hiding alone in her London flat, she avoids old friends and any reminders of her rotten, selfish ex-husband. Curled up with a good book, she’s battling the long afternoons of a life that feels like it’s passing her by. When a persistent mutual friend and some very unpredictable weather conspire to toss Michael and Marnie together on the most epic of ten-day hikes, neither of them can think of anything worse. Until, of course, they discover exactly what they’ve been looking for. Michael and Marnie are on the precipice of a bright future . . . if they can survive the journey. A hilarious, hopeful, and heartwarming love story—the novel beloved New York Times bestselling author David Nicholls calls “my funniest book yet”—You Are Here is a bittersweet and hopeful story of first encounters, second chances, and finding the way home.",12.99,368,Fiction,5.5,1.05,8.4,N/A
A Little Life: A Novel,Hanya Yanagihara,2024-06-26T16:32:56-08:00,"epub, mobi",9780385539265,"isbn:9780385539265,google:Lf99BAAAQBAJ",eng,2015-03-09T23:00:00-08:00,Knopf Doubleday Publishing Group,,1,2562462,"Fiction, Literary, Coming of Age, Sagas",835b581b-3aea-4dbd-ab77-4bcdc04eecc3,"NEW YORK TIMES BESTSELLER • A stunning “portrait of the enduring grace of friendship” (NPR) about the families we are born into, and those that we make for ourselves. A masterful depiction of love in the twenty-first century. NATIONAL BOOK AWARD FINALIST • MAN BOOKER PRIZE FINALIST • WINNER OF THE KIRKUS PRIZE A Little Life follows four college classmates—broke, adrift, and buoyed only by their friendship and ambition—as they move to New York in search of fame and fortune. While their relationships, which are tinged by addiction, success, and pride, deepen over the decades, the men are held together by their devotion to the brilliant, enigmatic Jude, a man scarred by an unspeakable childhood trauma. A hymn to brotherly bonds and a masterful depiction of love in the twenty-first century, Hanya Yanagihara’s stunning novel is about the families we are born into, and those that we make for ourselves. Look for Hanya Yanagihara’s latest bestselling novel, To Paradise.",10.99,832,"Fiction, Queer",5.25,1.4,8.0,"
                                 1.32 pounds"
Patron Saints of Nothing,Randy Ribay,2024-06-26T16:32:56-08:00,"epub, mobi",9780525554912,"google:GsTlEAAAQBAJ,amazon:0525554912,isbn:9780525554912",eng,2019-06-17T23:00:00-08:00,Kokila,,1,2388843,"Young Adult Fiction, People & Places, Asia, Law & Crime, Family, General",38e6c8a3-4402-4efa-b559-6155f899e836,"A NATIONAL BOOK AWARD FINALIST • A powerful coming-of-age story about grief, guilt, and the risks a Filipino-American teenager takes to uncover the truth about his cousin's murder. ""Brilliant, honest, and equal parts heartbreaking and soul-healing."" --Laurie Halse Anderson, author of SHOUT ""A singular voice in the world of literature."" --Jason Reynolds, author of Long Way Down Jay Reguero plans to spend the last semester of his senior year playing video games before heading to the University of Michigan in the fall. But when he discovers that his Filipino cousin Jun was murdered as part of President Duterte's war on drugs, and no one in the family wants to talk about what happened, Jay travels to the Philippines to find out the real story. Hoping to uncover more about Jun and the events that led to his death, Jay is forced to reckon with the many sides of his cousin before he can face the whole horrible truth -- and the part he played in it. As gripping as it is lyrical, Patron Saints of Nothing is a page-turning portrayal of the struggle to reconcile faith, family, and immigrant identity.",10.99,352,Young Adult Fiction,5.88,1.14,8.56,"
                                 1 pounds"
America Is Not the Heart: A Novel,Elaine Castillo,2024-06-26T16:32:56-08:00,"epub, mobi",9780735222410,"google:VdGLDwAAQBAJ,isbn:9780735222410,amazon:073522241X",eng,2018-04-02T23:00:00-08:00,Viking,,1,2128656,"Fiction, Women, Literary, Asian American",f9654bec-52a6-4a37-a064-3b28d748e88e,"Named one of the best books of the year by NPR, Real Simple, Lit Hub, The Boston Globe, San Francisco Chronicle, The New York Post, Kirkus Reviews, and The New York Public Library ""A saga rich with origin myths, national and personal . . . Castillo is part of a younger generation of American writers instilling literature with a layered sense of identity."" --Vogue How many lives fit in a lifetime? When Hero De Vera arrives in America--haunted by the political upheaval in the Philippines and disowned by her parents--she's already on her third. Her uncle gives her a fresh start in the Bay Area, and he doesn't ask about her past. His younger wife knows enough about the might and secrecy of the De Vera family to keep her head down. But their daughter--the first American-born daughter in the family--can't resist asking Hero about her damaged hands. An increasingly relevant story told with startling lucidity, humor, and an uncanny ear for the intimacies and shorthand of family ritual, America Is Not the Heart is a sprawling, soulful debut about three generations of women in one family struggling to balance the promise of the American dream and the unshakeable grip of history. With exuberance, grit, and sly tenderness, here is a family saga; an origin story; a romance; a narrative of two nations and the people who leave one home to grasp at another.",10.99,432,Fiction,5.5,1.05,8.4,N/A
A Court of Mist and Fury,Sarah J. Maas,2024-07-20T19:38:12-08:00,"epub, mobi",9781619635197,"google:GcbMDgAAQBAJ,mobi-asin:B01A8ZNWXS,isbn:9781619635197,amazon:1619634465",eng,2016-05-02T23:00:00-08:00,Bloomsbury USA Childrens,A Court of Thorns and Roses,2,987915,"Fiction, Epic, Young Adult Fiction, Action & Adventure, General, Fantasy, Romance, magic, Retellings, New Adult, young adult",4f88947a-11d7-4fe2-a328-cbe5784afca3,The #1 New York Times bestselling sequel to Sarah J. Maas's stunning and seductive A Court of Thorns and Roses.,10.99,640,"Fiction, Smut, Fantasy",5.5,1.05,8.4,N/A
A Court of Wings and Ruin,Sarah J. Maas,2024-07-26T12:24:20-08:00,"epub, mobi",9781619634480,"google:4fZaEAAAQBAJ,isbn:9781619634480,amazon:1619634481",eng,2017-05-01T23:00:00-08:00,Bloomsbury USA Childrens,A Court of Thorns and Roses,3,3294526,"Fiction, Fantasy, Epic, Romance, Young Adult Fiction, Action & Adventure, General",29e7a43d-2020-4934-bf19-afad73121ea9,"Feyre must decide whom to trust among the high Lords, and where to turn for allies as she returns to the Spring Court.",10.99,720,"Fiction, Smut, Fantasy",6.4,1.53,9.56,N/A
A Court of Frost and Starlight,Sarah J. Maas,2024-07-26T12:24:20-08:00,"epub, mobi",9781681196312,"mobi-asin:B075JN2PMZ,isbn:9781681196312,amazon:168119631X,google:nqCsswEACAAJ",eng,2018-04-30T23:00:00-08:00,Bloomsbury YA,A Court of Thorns and Roses,4,915263,"Young Adult Fiction, Fantasy, General, Action & Adventure, Epic, Romance",929dd232-050f-4e0c-b91f-2ba9193be86e,"Narrated by Feyre and Rhysand, this bridges the events in A Court of Wings and Ruin and the upcoming novels in the series. New in the #1 New York Times bestselling Court of Thorns and Roses series, A Court of Frost and Starlight is a glimpse into the lives of Feyre and Rhys as they begin to recover from the war that changed their world. Feyre, Rhysand, and their close-knit circle of friends are still busy rebuilding the Night Court and the vastly-changed world beyond. But Winter Solstice is finally near, and with it, a hard-earned reprieve. Yet even the festive atmosphere can't keep the shadows of the past from looming. As Feyre navigates her first Winter Solstice as High Lady, she finds that those dearest to her have more wounds than she anticipated -- scars that will have a far-reaching impact on the future of their Court.",10.99,240,"Fiction, Smut, Fantasy",5.5,1.05,8.4,N/A
A Court of Silver Flames,Sarah J. Maas,2024-07-26T12:24:20-08:00,"epub, mobi",9781681196282,"goodreads:53138095,google:a5UyEAAAQBAJ,amazon:168119628X,isbn:9781681196282",eng,2021-02-16T00:00:00-08:00,Bloomsbury USA,A Court of Thorns and Roses,5,1204064,"Fiction, Epic, Action & Adventure, Fantasy, Romance, young adult, Adult",51e485b5-bb0b-4d27-88f8-7cf4ff5551d6,,15.2,768,"Fiction, Smut, Fantasy",5.5,1.05,8.4,N/A
The Assassin's Blade,Sarah J. Maas,2024-07-28T10:43:01-08:00,"epub, mobi",9781619632219,isbn:9781619632219,eng,2014-05-14T20:00:00-08:00,Bloomsbury Publishing,,1,3657025,,6ff8a611-873a-4095-9e74-f40ef47a56fa,"An omnibus edition of the Tales of the Assassin prequel e-novellas follows Celanena's five daring missions and is complemented by a new novella, The Assassin and the Healer.",10.99,464,"Fiction, Fantasy",5.5,1.05,8.4,N/A
Never Let Me Go,Kazuo Ishiguro,2024-07-28T10:43:01-08:00,"epub, mobi",9780676977110,"goodreads:6335,isbn:9780676977110",eng,2006-01-30T22:00:00-08:00,"Random House, Inc.",,1,381703,"General, Fiction, Science Fiction, Fiction - General, Literary, Psychological",74999954-62b3-4adc-8a43-ca9e6184436e,"NOBEL PRIZE WINNER • The moving, suspenseful, beautifully atmospheric modern classic from the acclaimed author of The Remains of the Day and Klara and the Sun—“a Gothic tour de force"" (The New York Times) with an extraordinary twist. • “Speculative, experimental, and humanly moving. . . . Miraculous” —The New Republic • “A page-turner and a heartbreaker, a tour de force of knotted tension and buried anguish.” —TIME As children, Kathy, Ruth, and Tommy were students at Hailsham, an exclusive boarding school secluded in the English countryside. It was a place of mercurial cliques and mysterious rules where teachers were constantly reminding their charges of how special they were. Now, years later, Kathy is a young woman. Ruth and Tommy have reentered her life. And for the first time she is beginning to look back at their shared past and understand just what it is that makes them special—and how that gift will shape the rest of their time together.",10.99,288,"Sci-Fi, Fiction",5.5,1.05,8.4,N/A
Throne of Glass,Sarah J. Maas,2024-07-28T10:43:01-08:00,"epub, mobi",9781599906959,"isbn:9781599906959,google:r_i4_Lr5fA4C,amazon:1599906953",eng,2012-08-06T23:00:00-08:00,Bloomsbury YA,Throne of Glass,1,686765,"Young Adult Fiction, Fantasy, General, Juvenile Fiction, Fantasy & Magic, Action & Adventure, Love & Romance, Romance",48cc38f2-5bc0-4e55-a777-81692ed8e022,"After she has served a year of hard labor in the salt mines of Endovier for her crimes, Crown Prince Dorian offers assassin Celaena Sardothien her freedom on the condition that she act as his champion in a competition to find a new royal assassin.",10.99,432,"Fiction, Fantasy",5.5,1.05,8.4,N/A
Crown of Midnight,Sarah J. Maas,2024-07-28T10:43:01-08:00,"epub, mobi",9781619630628,"isbn:9781619630628,google:clJwBQAAQBAJ,amazon:1619630621,mobi-asin:B00CU7YHQY",eng,2013-08-26T23:00:00-08:00,Bloomsbury YA,Throne of Glass,2,775582,"Juvenile Fiction, Law & Crime, Love & Romance, Royalty, Fantasy & Magic, Science Fiction, General, Young Adult Fiction, Action & Adventure, Fantasy, Epic, Romance",a5a252f8-808a-4b49-ac7a-9a4c3a9f5ff3,"'One of the best fantasy book series of the past decade' TIME Never trust an assassin. Celaena's story continues in this second book in the #1 bestselling Throne of Glass series by Sarah J. Maas. Celaena Sardothien won a brutal contest to become the King's Champion. But she is far from loyal to the crown. Though she goes to great lengths to hide her secret, her deadly charade becomes more difficult when she realises she is not the only one seeking justice. Her search for answers ensnares those closest to her, and no one is safe from suspicion - not the Crown Prince Dorian; not Chaol, the Captain of the Guard; not even her best friend, Nehemia, a princess with a rebel heart. Then, one terrible night, the secrets they have all been keeping lead to an unspeakable tragedy. As Celaena's world shatters, she will be forced to decide once and for all where her true loyalties lie ... and what she is willing to fight for. The second book in the #1 New York Times bestselling Throne of Glass series returns readers to a land destroyed by liars, where one woman's truth is the only thing that can save them all.",10.99,448,"Fiction, Fantasy",5.5,1.05,8.4,N/A
Empire of Storms,Sarah J. Maas,2024-08-16T15:52:19-08:00,"epub, mobi",9781619636088,isbn:9781619636088,eng,2016-08-09T16:00:00-08:00,Bloomsbury Publishing,,1,2711321,,dc6b5f64-1490-48a4-9fdb-8cf5df2868ae,,15.2,448,"Fiction, Fantasy",5.5,1.05,8.4,N/A
I Want to Die but I Want to Eat Tteokbokki: A Memoir,Baek Sehee,2024-09-13T13:21:32-08:00,"epub, mobi",9781635579383,"barnesnoble:1140966701,isbn:9781635579383,google:3sVcEAAAQBAJ,amazon:152665086X",eng,2022-10-31T23:00:00-08:00,Bloomsbury USA,,1,309466,,3ec0df1f-019a-462c-a3cc-0655809d4fc4,,10.99,208,Memoir,5.75,0.87,8.56,"
                                 2.31 pounds"
The Pairing,Casey McQuiston,2024-09-13T13:21:32-08:00,"epub, mobi",9781250862747,"barnesnoble:1144212650,google:EtDbEAAAQBAJ,amazon:1250862744,isbn:9781250862747",eng,2024-08-05T23:00:00-08:00,St. Martin's Griffin,,1,3605098,"Fiction, Romance, Contemporary, Lgbtq+, Bisexual",bc4f4b1c-722f-44f2-89af-c8602f26a8b7,"In #1 New York Times bestselling author Casey McQuiston's latest romantic comedy, two bisexual exes accidentally book the same European food and wine tour and challenge each other to a hookup competition to prove they're over each other—except they're definitely not. Theo and Kit have been a lot of things: childhood best friends, crushes, in love, and now estranged exes. After a brutal breakup on the transatlantic flight to their dream European food and wine tour, they exited each other's lives once and for all. Time apart has done them good. Theo has found confidence as a hustling bartender by night and aspiring sommelier by day, with a long roster of casual lovers. Kit, who never returned to America, graduated as the reigning sex god of his pastry school class and now bakes at one of the finest restaurants in Paris. Sure, nothing really compares to what they had, and life stretches out long and lonely ahead of them, but—yeah. It's in the past. All that remains is the unused voucher for the European tour that never happened, good for 48 months after its original date and about to expire. Four years later, it seems like a great idea to finally take the trip. Solo. Separately. It's not until they board the tour bus that they discover they've both accidentally had the exact same idea, and now they're trapped with each other for three weeks of stunning views, luscious flavors, and the most romantic cities of France, Spain, and Italy. It's fine. There's nothing left between them. So much nothing that, when Theo suggests a friendly wager to see who can sleep with their hot Italian tour guide first, Kit is totally game. And why stop there? Why not a full-on European hookup competition? But sometimes a taste of everything only makes you crave what you can't have.",10.99,432,"Queer, Smut",5.4,1.4,8.25,"
                                 14.9 ounces"
The Song of Achilles,Madeline Miller,2024-09-13T13:21:32-08:00,"epub, mobi",9780062060624,"isbn:9780062060624,barnesnoble:1103167914,amazon:1408821982",eng,2012-08-27T23:00:00-08:00,HarperCollins,P.S. Series,1,554364,,87a8e617-ed31-46de-94f8-d6ca8a13a34e,,10.99,416,"Greek Mythology, Queer, Smut",0.96,5.38,7.82,"
                                 2.31 pounds"
Men Have Called Her Crazy: A Memoir,Anna Marie Tendler,2024-09-13T13:49:40-08:00,"epub, mobi",9781668032367,"barnesnoble:1145008678,isbn:9781668032367,amazon:1668032341,google:OAfqEAAAQBAJ",eng,2024-08-12T23:00:00-08:00,Simon & Schuster,,1,5051622,"Biography & Autobiography, Personal Memoirs, Women, Artists; Architects; Photographers",cf8db8f2-5f1f-4dc1-9ccc-5d58ffe3f7e7,,10.99,304,Memoir,5.5,1.05,8.4,N/A
Circe,Madeline Miller,2024-09-13T13:49:40-08:00,"epub, mobi",9786020665931,"barnesnoble:1028697822,mobi-asin:d360ab6a-1357-4cef-8d2c-cd66710678a0,amazon:1408890089,google:dyikEAAAQBAJ,isbn:9786020665931",eng,2018-04-18T23:00:00-08:00,Gramedia Pustaka Utama,,1,1670662,"Young Adult Fiction, Literary",3edd7e21-0340-4329-a272-091531a0423d,"Di istana Helios, dewa matahari, lahir seorang anak perempuan. Tetapi Circe anak yang aneh—tidak berkuasa seperti ayahnya, juga tidak memikat seperti ibunya. Karena tak punya teman, Circe mencarinya di dunia manusia, dan mengembangkan kemampuannya sebagai penyihir. Zeus, yang merasa terancam, mengasingkannya ke pulau terpencil. Circe mengasah bakatnya dan bertemu banyak tokoh paling termasyhur dalam mitologi, di antaranya Minotaur, Daedalus dan Icarus, Medea, dan Odysseus yang lihai. Tetapi wanita yang hanya sendirian akan menghadapi banyak bahaya, dan Circe tanpa sengaja membangkitkan murka manusia dan dewa-dewa, sehingga mesti berhadapan dengan dewa Olympus yang paling menakutkan dan pendendam. Untuk melindungi apa yang paling dicintainya, Circe harus mengerahkan seluruh kekuatannya dan memilih dengan tegas, apakah hendak berpihak kepada dewa-dewa yang telah melahirkannya, atau manusia yang telanjur disayanginya.",8.29,416,"Greek Mythology, Fiction",5.5,1.05,8.4,N/A
"Dear Scott, Dearest Zelda",F. Scott Fitzgerald & Zelda Fitzgerald,2024-09-13T13:49:40-08:00,"epub, mobi",9781982117139,isbn:9781982117139,eng,2019-07-22T23:00:00-08:00,Scribner,,1,10160639,,2420bc88-3ddd-4130-9cf6-bc052c64da8c,,10.99,432,Classics,6.0,1.0,9.0,"
                                 1.01 pounds"
The Last Magician,Lisa Maxwell,2024-09-13T13:49:40-08:00,"epub, mobi",9781481432092,isbn:9781481432092,eng,2017-07-17T23:00:00-08:00,Simon Pulse,,1,10959374,,9b066e4b-8c51-4a0e-bb38-2b8438655530,,10.99,528,"Fiction, Fantasy",5.5,1.2,8.25,"
                                 2.31 pounds"
What You Are Looking for Is in the Library: A Novel,Michiko Aoyama,2024-09-22T12:49:58-08:00,"epub, mobi",9781335005625,"barnesnoble:1142989253,isbn:9781335005625",eng,2023-09-04T23:00:00-08:00,Hanover Square Press,,1,1032313,,656b4913-dac3-43f8-a2d6-392681221c79,,12.01,304,Fiction,5.42,1.03,7.42,"
                                 2.31 pounds"
The Best Short Stories of Fyodor Dostoevsky,Fyodor Dostoevsky,2024-09-22T12:49:58-08:00,"epub, mobi",9780375756887,"google:oFnFFiTVST4C,barnesnoble:1103272238,isbn:9780375756887,amazon:B00A2M3RJW",eng,2012-07-10T23:00:00-08:00,Modern Library,Modern Library Classics,1,956966,"Fiction, Classics, Short Stories (Single Author), Psychological",909e2489-23b7-4464-b957-70072f09b2d1,"This collection, unique to the Modern Library, gathers seven of Dostoevsky's key works and shows him to be equally adept at the short story as with the novel. Exploring many of the same themes as in his longer works, these small masterpieces move from the tender and romantic White Nights, an archetypal nineteenth-century morality tale of pathos and loss, to the famous Notes from the Underground, a story of guilt, ineffectiveness, and uncompromising cynicism, and the first major work of existential literature. Among Dostoevsky's prototypical characters is Yemelyan in The Honest Thief, whose tragedy turns on an inability to resist crime. Presented in chronological order, in David Magarshack's celebrated translation, this is the definitive edition of Dostoevsky's best stories.",4.99,320,Classics,5.17,0.64,7.97,"
                                 2.31 pounds"
Days at the Morisaki Bookshop,Satoshi Yagisawa,2024-09-22T12:49:58-08:00,"epub, mobi",9781786583239,"isbn:9781786583239,amazon:1786583232",eng,2023-07-03T23:00:00-08:00,Manilla Press,Morisaki Bookshop,1,627383,,7dcb7c18-c48f-42ca-89d6-e28455ecf561,,10.99,160,"Fiction, Short Story",5.5,1.05,8.4,N/A
Assistant to the Villain,Hannah Nicole Maehrer,2024-09-22T12:49:58-08:00,"epub, mobi",9798212621281,"amazon:B0CW5118R3,barnesnoble:1143222643,google:ofmzEAAAQBAJ,isbn:9798212621281",eng,2023-08-28T23:00:00-08:00,Tantor Audio,Assistant and the Villain,1,1069711,"Fiction, Fantasy, Humorous, Romance, keywords here",214c83b1-865c-42db-934f-de046f4df987,,10.99,352,"Fiction, Fantasy",6.0,0.95,9.0,"
                                 2.31 pounds"
Metamorphoses,Ovid,2024-09-22T12:49:58-08:00,"epub, mobi",9780253200013,"amazon:014044789X,barnesnoble:1116680474,google:jWZixlmK26AC,isbn:9780253200013",Latin,1955-09-14T23:00:00-08:00,Penguin Classics,Penguin Classics Series,1,987569,"History, Ancient, General, Literary Criticism, Ancient & Classical, Poetry",9b1503f7-7a99-4258-adb6-67d80cbcf008,,10.99,768,Greek Mythology,5.5,1.05,8.4,N/A
Hooked,Emily McIntire,2024-09-22T12:58:49-08:00,"epub, mobi",9781464230592,"goodreads:58545703,barnesnoble:1140182384,asin:B099XB1LXM,amazon:B099XB1LXM,ff:m/emily-mcintire/hooked,google:VqPJ0AEACAAJ,isbn:9781464230592",eng,2024-12-02T23:00:00-08:00,Sourcebooks,Never After Series,1,893330,"Fairy Tales; Folk Tales; Legends & Mythology, Erotic, Noir, Romance, Fantasy, fantasy romance, Dark, Retelling, Retellings, Fairy Tale, Fairy Tales, Suspense, Contemporary, Dark Romance, Dark Fantasy, Contemporary Romance, Fiction, Adult, New Adult",99e2793c-613c-4467-b250-efcb440b2e8d,,10.99,338,"Fiction, Smut, Fantasy",5.5,0.85,8.5,"
                                 13.6 ounces"
"The Coming Wave: Technology, Power, and the Twenty-First Century's Greatest Dilemma",Mustafa Suleyman & Michael Bhaskar,2024-11-12T19:16:13-08:00,"epub, mobi",9780593593950,"google:a-26EAAAQBAJ,isbn:9780593593950,amazon:0593593952",eng,2023-09-05T00:00:00-08:00,Crown,,1,1778775,"Technology & Engineering, Social Aspects, Social Science, Future Studies, Computers, Artificial Intelligence, General",8eb2df33-ef5b-433a-a981-90e7286ea89f,,10.99,352,Technology,5.5,1.05,8.4,N/A
Queen of Shadows,Sarah J. Maas,2024-11-12T19:16:13-08:00,"epub, mobi",9781619636057,"isbn:9781619636057,google:8i_EBgAAQBAJ,barnesnoble:1141902149",eng,2015-09-01T00:00:00-08:00,Bloomsbury Publishing,Throne of Glass,4,1238894,"Juvenile Fiction, Fantasy & Magic, Love & Romance, Young Adult Fiction, General, Action & Adventure, Epic, Romance, Fantasy",67b1722d-9e74-4e92-b15a-8c13921666a1,"Sarah J. Maas's New York Times bestselling Throne of Glass series reaches new heights in this sweeping fourth volume. Everyone Celaena Sardothien loves has been taken from her. But she's at last returned to the empire-for vengeance, to rescue her once-glorious kingdom, and to confront the shadows of her past... She has embraced her identity as Aelin Galathynius, Queen of Terrasen. But before she can reclaim her throne, she must fight. She will fight for her cousin, a warrior prepared to die just to see her again. She will fight for her friend, a young man trapped in an unspeakable prison. And she will fight for her people, enslaved to a brutal king and awaiting their lost queen's triumphant return. Celaena's epic journey has captured the hearts and imaginations of millions across the globe. This fourth volume will hold readers rapt as Celaena's story builds to a passionate, agonizing crescendo that might just shatter her world.",10.99,672,"Fiction, Fantasy",5.5,1.05,8.4,N/A
"The Long Way to a Small, Angry Planet",Becky Chambers,2024-11-12T19:34:54-08:00,"epub, mobi",9781473619777,"amazon:B00ZP64F28,mobi-asin:B00LUJD700,goodreads:26194937,isbn:9781473619777,google:dgFxCQAAQBAJ",eng,2014-07-28T21:00:00-08:00,Hodder & Stoughton,Wayfarers,1,1675007,"Gay, Adult, Fantasy, Adventure, Fiction, Science Fiction, Action & Adventure, Space Opera, General",86147a2a-7537-4b01-8740-e7fec02a3aba,,10.99,423,"Sci-Fi, Fiction",5.5,1.05,8.4,N/A
The Will of the Many,James Islington,2024-11-12T19:34:54-08:00,"epub, mobi",9781982141196,"amazon:B0BHTMBW5B,google:jlGUEAAAQBAJ,isbn:9781982141196",eng,2023-05-23T00:00:00-08:00,S&S/Saga Press,Hierarchy,1,4859400,"Fiction, Fantasy, Epic, Action & Adventure, Historical, General",3b400ede-d991-426f-9bff-7930cc3967dd,"At the elite Catenan Academy, a young fugitive uncovers layered mysteries and world-changing secrets in this new fantasy series by internationally bestselling author of The Licanius Trilogy, James Islington. AUDI. VIDE. TACE. The Catenan Republic—the Hierarchy—may rule the world now, but they do not know everything. I tell them my name is Vis Telimus. I tell them I was orphaned after a tragic accident three years ago, and that good fortune alone has led to my acceptance into their most prestigious school. I tell them that once I graduate, I will gladly join the rest of civilised society in allowing my strength, my drive and my focus—what they call Will—to be leeched away and added to the power of those above me, as millions already do. As all must eventually do. I tell them that I belong, and they believe me. But the truth is that I have been sent to the Academy to find answers. To solve a murder. To search for an ancient weapon. To uncover secrets that may tear the Republic apart. And that I will never, ever cede my Will to the empire that executed my family. To survive, though, I will still have to rise through the Academy’s ranks. I will have to smile, and make friends, and pretend to be one of them and win. Because if I cannot, then those who want to control me, who know my real name, will no longer have any use for me. And if the Hierarchy finds out who I truly am, they will kill me.",10.99,640,"Greek Mythology, Fiction",5.5,1.05,8.4,N/A
Play It as It Lays,Joan Didion,2024-11-12T19:34:55-08:00,"epub, mobi",9781504045674,isbn:9781504045674,eng,2013-08-01T00:00:00-08:00,Open Road Media,,1,1235435,,0a636ea6-f93b-48da-9f10-c4f2ec790d98,,10.99,240,Fiction,5.5,1.05,8.4,N/A
